env,lvl
Env_Creative_Hub,0
Env_Default_Flat,0
Env_Default_Void,0
Env_Forgotten_Temple_Base,0
Env_Forgotten_Temple_Exterior,0
Env_Forgotten_Temple_Heart,0
Env_Forgotten_Temple_Interior_Grand,0
Env_Forgotten_Temple_Interior_Small,0
Env_Forgotten_Temple_Interior_Tent,0
Env_Portals_Hedera,0
Env_Portals_Oasis,0
Env_Temple_of_Gaia,0
Unknown,0
Dungeon_GoblinLair_Duke,35
Dungeon_GoblinLair_Ogre,25
Dungeon_GoblinLair_RatCave,5
Dungeon_GoblinLair_SpiderCave,15
Env_Zone0,0
Env_Zone0_Cold,0
Env_Zone0_Temperate,0
Env_Zone0_Warm,0
Env_Zone1,5
Env_Zone1_Autumn,7
Env_Zone1_Azure,8
Env_Zone1_Caves,10
Env_Zone1_Caves_Forests,11
Env_Zone1_Caves_Goblins,14
Env_Zone1_Caves_Mountains,13
Env_Zone1_Caves_Plains,9
Env_Zone1_Caves_Rats,12
Env_Zone1_Caves_Spiders,15
Env_Zone1_Caves_Swamps,13
Env_Zone1_Caves_Volcanic_T1,16
Env_Zone1_Caves_Volcanic_T2,18
Env_Zone1_Caves_Volcanic_T3,20
Env_Zone1_Dungeons,17
Env_Zone1_Encounters,12
Env_Zone1_Forests,6
Env_Zone1_Graveyard,19
Env_Zone1_Kweebec,8
Env_Zone1_Mage_Towers,18
Env_Zone1_Mineshafts,14
Env_Zone1_Mountains,11
Env_Zone1_Plains,5
Env_Zone1_Shores,7
Env_Zone1_Swamps,10
Env_Zone1_Trork,21
Zone1_Overground,9
Zone1_Underground,16
Env_Zone2,30
Env_Zone2_Caves,34
Env_Zone2_Caves_Deserts,36
Env_Zone2_Caves_Goblins,37
Env_Zone2_Caves_Plateaus,35
Env_Zone2_Caves_Rats,33
Env_Zone2_Caves_Savanna,36
Env_Zone2_Caves_Scarak,40
Env_Zone2_Caves_Scrub,34
Env_Zone2_Caves_Volcanic_T1,39
Env_Zone2_Caves_Volcanic_T2,42
Env_Zone2_Caves_Volcanic_T3,45
Env_Zone2_Deserts,32
Env_Zone2_Dungeons,41
Env_Zone2_Encounters,35
Env_Zone2_Feran,38
Env_Zone2_Mage_Towers,43
Env_Zone2_Mineshafts,37
Env_Zone2_Oasis,31
Env_Zone2_Plateaus,33
Env_Zone2_Savanna,32
Env_Zone2_Scarak,39
Env_Zone2_Scrub,31
Env_Zone2_Shores,30
Zone2_Overground,34
Zone2_Underground,40
Env_Zone3,50
Env_Zone3_Caves,54
Env_Zone3_Caves_Forests,55
Env_Zone3_Caves_Glacial,58
Env_Zone3_Caves_Mountains,57
Env_Zone3_Caves_Spider,59
Env_Zone3_Caves_Tundra,56
Env_Zone3_Caves_Volcanic_T1,60
Env_Zone3_Caves_Volcanic_T2,63
Env_Zone3_Caves_Volcanic_T3,66
Env_Zone3_Dungeons,62
Env_Zone3_Encounters,55
Env_Zone3_Forests,52
Env_Zone3_Glacial,57
Env_Zone3_Glacial_Henges,61
Env_Zone3_Hedera,53
Env_Zone3_Mage_Towers,64
Env_Zone3_Mineshafts,58
Env_Zone3_Mountains,56
Env_Zone3_Outlander,60
Env_Zone3_Outlander_Village,54
Env_Zone3_Shores,51
Env_Zone3_Trork,65
Env_Zone3_Tundra,55
Zone3_Overground,53
Zone3_Overground_Poisoned,67
Zone3_Underground,61
Env_Zone4,70
Env_Zone4_Caves,75
Env_Zone4_Caves_Volcanic,82
Env_Zone4_Crucible,88
Env_Zone4_Dungeons,84
Env_Zone4_Encounters,76
Env_Zone4_Encounters_Forest,74
Env_Zone4_Forests,72
Env_Zone4_Jungles,73
Env_Zone4_Mage_Towers,85
Env_Zone4_Sewers,77
Env_Zone4_Shores,70
Env_Zone4_Villages,71
Env_Zone4_Villages_Forests,72
Env_Zone4_Villages_Swamp,74
Env_Zone4_Volcanoes,86
Env_Zone4_Wastes,80
Zone4_Overground,78
Zone4_Underground,83
